Node	X Location (m)	Y Location (m)	Z Location (m)	
232	4.5572e-002	5.9874e-002	5.0894e-002	
233	4.3557e-002	6.352e-002	5.0983e-002	
234	4.7567e-002	6.2354e-002	5.1367e-002	
235	5.2762e-002	6.1257e-002	5.264e-002	
236	4.3886e-002	6.7889e-002	5.1706e-002	
237	3.8148e-002	6.8851e-002	5.1002e-002	
238	3.2263e-002	7.2311e-002	5.1067e-002	
239	2.853e-002	7.562e-002	5.1127e-002	
240	1.8835e-002	8.4958e-002	5.1492e-002	
241	2.4895e-002	8.2786e-002	5.1362e-002	
242	1.65e-002	0.10652	5.0437e-002	
243	1.8873e-002	9.8462e-002	5.1106e-002	
244	1.5424e-002	0.11663	4.8943e-002	
245	1.968e-002	0.1143	4.904e-002	
246	5.2517e-002	0.17292	1.5154e-002	
247	5.0641e-002	0.17613	1.0406e-002	
248	4.7996e-002	0.17095	1.7297e-002	
249	5.8437e-002	0.17618	1.0382e-002	
250	0.10455	0.17609	1.5354e-002	
251	0.10143	0.17757	9.2822e-003	
252	9.3923e-002	0.17829	1.1432e-002	
253	0.15578	0.1282	3.5435e-002	
254	0.16276	0.11862	3.43e-002	
255	0.16506	0.10404	3.7648e-002	
256	0.16391	0.11133	3.5974e-002	
257	0.15439	0.11298	4.2223e-002	
258	0.15509	0.12059	3.8829e-002	
259	0.15858	0.1158	3.8262e-002	
260	0.15972	0.10851	3.9935e-002	
261	0.16186	8.9218e-002	4.2945e-002	
262	0.16346	9.6631e-002	4.0296e-002	
263	9.3553e-002	3.4477e-002	5.0568e-002	
264	9.3987e-002	2.7166e-002	5.0159e-002	
265	8.3265e-002	3.2558e-002	5.0169e-002	
266	0.12593	2.643e-002	4.964e-002	
267	0.1338	2.5618e-002	4.8657e-002	
268	0.11136	2.711e-002	5.0398e-002	
269	0.11865	2.677e-002	5.0019e-002	
270	0.14487	1.6669e-002	4.5734e-002	
271	0.14917	2.1402e-002	4.5308e-002	
272	0.13934	2.1143e-002	4.7196e-002	
273	0.14222	2.8451e-002	4.7526e-002	
274	0.14224	4.0106e-002	4.8811e-002	
275	0.13802	3.2862e-002	4.8734e-002	
276	0.13409	3.3268e-002	4.9226e-002	
277	0.11648	4.3157e-002	5.3092e-002	
278	0.12121	3.4794e-002	5.1366e-002	
279	0.11392	3.5134e-002	5.1745e-002	
280	0.10149	3.2033e-002	5.0574e-002	
281	0.10844	3.2402e-002	5.0759e-002	
282	8.8375e-002	3.7581e-002	5.0749e-002	
283	7.627e-002	3.4643e-002	5.0122e-002	
284	7.7849e-002	4.1573e-002	5.084e-002	
285	0.16184	7.677e-002	4.4642e-002	
286	0.16504	7.0635e-002	4.3609e-002	
287	0.16751	7.7074e-002	4.1961e-002	
288	0.15795	5.9437e-002	4.6511e-002	
289	0.1599	6.8104e-002	4.5577e-002	
290	0.16629	8.2284e-002	4.1486e-002	
291	0.1507	7.0266e-002	4.9932e-002	
292	0.15627	7.3518e-002	4.7287e-002	
293	0.15432	6.4852e-002	4.8222e-002	
