Node	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
518	3.0858e-002	0.13904	4.2223e-002	25.077
519	2.6357e-002	0.12949	4.5026e-002	25.089
520	2.654e-002	0.12665	4.6099e-002	25.137
521	2.695e-002	0.121	4.8229e-002	25.225
522	2.6519e-002	0.12381	4.7275e-002	25.175
523	2.4169e-002	0.10681	4.9859e-002	25.234
524	2.533e-002	0.11149	4.9276e-002	25.25
525	2.689e-002	0.11339	4.9353e-002	25.304
526	2.7138e-002	0.10106	5.0538e-002	25.38
527	2.9603e-002	9.5382e-002	5.1357e-002	25.505
528	3.0928e-002	9.2538e-002	5.164e-002	25.569
529	3.2149e-002	8.9687e-002	5.2082e-002	25.624
530	3.6891e-002	8.1155e-002	5.256e-002	25.806
531	3.5228e-002	8.401e-002	5.2394e-002	25.744
532	3.3515e-002	8.6862e-002	5.2269e-002	25.675
533	5.1883e-002	6.6008e-002	5.5047e-002	26.285
534	4.7214e-002	7.1697e-002	5.5655e-002	26.2
535	3.7594e-002	7.4344e-002	5.1442e-002	25.718
536	7.2865e-002	6.2807e-002	6.1614e-002	26.894
537	7.3929e-002	5.5751e-002	5.7424e-002	26.641
538	6.9977e-002	5.7291e-002	5.7122e-002	26.629
539	0.12307	6.0334e-002	5.756e-002	26.031
540	0.11798	5.5531e-002	5.6867e-002	26.041
541	9.5785e-002	5.1174e-002	5.6958e-002	26.427
542	0.13904	7.7129e-002	5.4671e-002	25.78
543	0.12797	6.5435e-002	5.718e-002	26.002
544	0.13028	6.1e-002	5.564e-002	25.772
545	0.13927	0.10431	5.5067e-002	25.873
546	0.14277	9.8998e-002	5.3237e-002	25.754
547	0.13704	9.27e-002	5.7012e-002	26.02
548	0.14113	8.8211e-002	5.4778e-002	25.809
549	0.12423	0.13494	6.0883e-002	25.673
550	0.1258	0.13996	5.6424e-002	25.538
551	0.12182	0.15021	5.3003e-002	25.361
552	0.13127	0.11702	5.9562e-002	25.956
553	0.13063	0.1231	5.8623e-002	25.842
554	9.5581e-002	0.17132	4.0045e-002	25.036
555	0.10147	0.16795	4.3394e-002	25.103
556	0.11313	0.15651	5.4277e-002	25.314
557	0.11025	0.16054	5.0509e-002	25.244
558	8.6417e-002	0.17585	2.6251e-002	24.836
559	8.73e-002	0.17432	3.3774e-002	24.939
560	9.4305e-002	0.17333	3.3568e-002	24.95
561	7.0719e-002	0.17336	3.3018e-002	24.914
562	4.6704e-002	0.16481	2.8519e-002	24.834
563	6.4072e-002	0.17187	3.1648e-002	24.893
564	6.6179e-002	0.17329	2.8756e-002	24.852
565	4.1908e-002	0.16	3.06e-002	24.867
566	3.8149e-002	0.15516	3.2952e-002	24.903
567	3.5004e-002	0.15077	3.5212e-002	24.931
568	3.6643e-002	0.15232	3.5055e-002	24.94
569	3.3383e-002	0.14752	3.7153e-002	24.963
570	3.246e-002	0.14093	4.2261e-002	25.094
571	3.0286e-002	0.1362	4.3722e-002	25.115
